item_clean,SemDis_glove_c_m,response
book,0.69375,to demonstrate height
book,0.69476,to generate heat ie burning
book,0.75344,cut it up and make christmas decorations
book,1.25151,make a sculpture using multiple books
book,0.72619,put different colour covers together to make a picture
book,1.29535,use it to store secret items
book,0.77077,use it to make a small house for fun
book,1.29971,create fire with the book pages
book,1.29607,create art by folding book pages
book,0.76536,make papier mache to create a sculpture
book,1.23351,use a stack to appear taller in photos
book,0.7797499999999999,create a bird mobile for a library open books looking like flying birds
book,1.26141,murder weapon
book,0.99257,temp umbrella
book,0.88952,plate
book,0.90386,settle a wobbly table
book,1.12863,tripod
book,1.21955,work surface
book,0.92583,decoration
book,0.69962,to hide a document/piece of paper
book,0.76225,as something to burn in a fire
book,0.7370300000000001,a spacer when measuring or painting
book,1.14029,a template
book,1.14826,a ruler
book,1.32469,phone stand
book,1.04465,paperweight
book,,dumbell
book,1.09904,stilts
book,1.10485,baseball bat
book,0.81213,hat
book,1.17761,placemat
book,1.28177,hit someone with it
book,1.31686,rolling paper for cigarettes
book,1.03409,sledge
book,1.11651,chopping board
book,0.97121,coaster
book,0.96848,ruler
book,1.23541,stepping stone
book,0.7398,fan
book,0.93187,scales
book,0.87932,hammer
book,0.98289,bricks
book,1.04357,lamp shade
book,0.78457,Step
book,0.7398,fan
book,0.92583,decoration
book,0.75099,food
book,0.82794,weight
book,1.24945,wall art
book,0.68302,weight lifting weight
book,0.90374,storage
book,1.27697,prop up wobbly table
book,0.76668,build a fort
book,0.70414,build a table
book,1.29442,decorations on the wall
book,1.24605,wrapping paper
book,1.24269,christmas tree decorations with the pages
book,0.81213,hat
book,0.85527,tower
book,0.7398,fan
book,1.23876,a shelter for insects
book,1.25769,to cover eyes from the sun
book,0.81628,laptop riser
book,1.27475,door stop
book,1.26368,to lean a mobile on for selfies
book,0.66989,To lean on for writing
book,1.23935,to kill a fly
book,0.68386,as a decoration
book,1.24566,To stand on to be taller
book,1.25568,book safe
book,1.19863,pot holder
book,0.8728400000000001,wallpaper
book,0.79158,stand
book,0.6070599999999999,art
book,0.81236,chair
book,0.92392,bookcase
book,1.31743,paper weight
book,1.12188,nail designs
book,1.04737,confetti
book,1.00503,doorstop
book,1.00192,weights
book,0.84083,steps
book,0.98487,ladder
book,1.14232,fly traps
book,1.04465,paperweight
book,0.5457799999999999,paper machier
book,,decopage
book,0.88969,fly swatter
book,1.27024,a step
book,1.22685,holder for bookmarks
book,1.3054,weight for working out
book,1.27475,door stop
book,1.2667,Money safe  Important document holder  Computer speaker stands  Step  Posture corrector
book,1.27475,Door stop
book,1.08721,Fly swat
book,1.11305,Seat raiser
book,1.31434,Supply of toilet paper
book,1.10695,stepping stool
book,1.24694,tear out the pages to light a fire
book,1.05161,door wedge
book,1.26605,cut out the middle to hide valuables inside
book,1.24312,drill a hole in it and use it as a pen holder
book,1.2515,make sculptures by carving the pages
book,1.05733,grow mushrooms
book,1.27613,cut out words to make art or messages
book,1.2145,use the pages as the background for a collage
book,0.75143,use them as building blocks
book,0.75224,hang them from the ceiling as birdlike figures
book,0.75797,open and close them to make percussive music
book,1.1497,use the covers of hardbacks to make armour
book,0.70877,use the pages to block gaps in windows  walls  floors  etc
book,0.76053,use pages as insulation/padding in clothes  covers  etc
book,1.26486,use the pages for papier mache
book,1.27234,coffee table
book,1.24815,art installation
book,0.81236,chair
book,0.74597,wall
book,0.81656,fill a sack with books and use for weapon
book,0.72708,use a hardback book as a stand for your monitor
book,0.6912,protect heart with thick book
book,1.1452,book tower
book,1.29044,to level a bed
book,0.7096,table
book,0.72182,As a step to reach high things
book,0.72961,To stand your tablet against
book,1.26486,Use the pages for papier mache
book,0.72687,Start a fire
book,0.69712,As a fan
book,1.22955,You can put the book on your head and use it for protection from the sun
book,1.12948,You can tear all the pages out and make paper snowballs
book,1.23843,You can flip the pages really fast and use it as a fan for cooling yourself
book,1.24415,You can stand on it to be taller
book,1.27475,door stop
book,1.27099,monitor stand
book,0.92583,decoration
book,1.23629,stop table wobbling
book,1.2434,pressing flowers
book,0.82794,weight
book,1.21981,fuel for fireBuild a house insulate walls make writing paper Soaking and making bricks for fire
book,0.7127600000000001,build a house
book,0.78075,soak  form into brick and squeeze out water for fuel bricks
book,0.74623,build walls of a house
book,1.19522,make jewellery
book,1.04398,insulate clothes
book,0.59778,make writing paper
book,1.27475,Door stop
book,1.31239,art projects
book,1.30986,used for origami
book,0.64168,as a cushion
book,1.24105,to press flowers in the pages
book,1.26975,as a doorstop
book,0.76336,Used for holding things in place which may get blown away
book,1.28761,Raising things like a computer monitor
book,0.71226,create a fire
book,,oragami
book,1.22592,prop up a table
book,1.19444,FOOTREST
book,1.06376,DRINKS MAT
book,1.18188,HOLLOWED OUT FOR HIDING COINS
book,1.26942,Balance tool
book,1.00591,Stool
book,0.81213,Hat
book,1.03954,Rain protector
book,1.31597,Paper to draw on
book,1.28029,Throwing item
book,1.02925,Campfire equipment
book,1.3307,Window wipe
book,0.81738,Karate chop practice
book,0.864,Home for an ant
book,1.20685,Flower pressing
book,1.31472,To hold down something
book,1.27278,To flatten something
book,1.27475,Door stop
book,0.8307,prop for holding up object
book,1.28622,monitor lift
book,0.7917,wedge to stablise table
book,1.28979,hiding money in it
book,1.22866,building a tower game
book,0.69215,hidden storage place
book,1.33206,as a firelighter
book,0.7576499999999999,recycle into paper
book,1.194,use edges to shapes pastries
book,0.77208,use outline to get exact a4/a5 sizings as a stencil
book,1.28024,burn it
book,1.09397,placeholder
book,1.04465,paperweight
book,0.92583,decoration
book,0.90709,bug smasher
book,1.13972,coloring tool
book,0.88106,weapon
book,1.07488,hiding spot
book,1.27475,door stop
book,0.8388,fire
book,0.6070599999999999,art
book,0.78457,step
book,1.30655,target practice
book,0.78457,step
book,0.81213,hat
book,0.90707,drum
book,0.87932,hammer
book,,firelighter
book,1.25993,to learn to stand up straight
book,1.32206,to hold up furniture
book,0.77729,to hollow out and hide items in
book,0.71739,to press flowers
book,0.84083,Steps
book,0.88106,Weapon
book,0.75652,Fan for when it's hot
book,0.7472,Back scratcher
book,0.76803,Therapeutic handheld device
book,0.87435,Mask
book,1.0532,Firestarter
book,0.83358,Marijuana ashes plate
book,1.04465,paperweight
book,0.94043,fuel
book,0.7573300000000001,table balancer
book,1.26051,toilet paper
book,0.91954,mouse mat
book,0.7398,fan
book,1.11651,chopping board
book,0.7746999999999999,hollow out and use to hide things
book,0.99745,keepsake box
book,1.37994,book wall
book,1.25803,as a decorative piece
book,0.66726,as a stand
book,1.33206,as a playmat
book,0.95875,wallpaper using the book covers
book,1.25636,decorative pieces using the actual pages
book,0.98223,jewellery
book,0.67404,as an arch
book,0.86107,instead of wooden flooring glue small books together
book,1.01597,bunting
book,0.7596,to prees wild flowers
book,1.24354,to store drugs for smuggling into another country
book,1.24003,to burn in times of hardship
book,0.7288600000000001,to tear out and make paper planes
book,0.7486999999999999,to cut out letters to send threats to people
book,1.24063,to use as a paperweight
book,0.7720400000000001,to swat flies
book,1.28846,to impress people with my knowledge
book,0.7398,fan
book,0.76668,build a fort
book,1.26795,prop to look smart
book,1.19778,prop to hide behind while spying
book,1.17278,squash things
